year,real_gdp,capital_stock,population,human_capital_index,s,real_interest_rate,depreciation_rate,labour_force,consumption_share,total_factor_productivity,consumption,labour_share_output,y,k,n,growth_rate,g,capital_share,A_estimate,actual_investment,break_even_investment,delta_k,c,g_c_dot,estimated_rho,rck_capital_accumulation,c_k_dot_zero
1977,1780371.75,7375959.5,78.185559,3.09683012962341,0.284468829631805,0.0529745221138001,0.0324481949210167,37.3924827575684,0.605554282665253,0.716578781604767,1787116.625,0.690643131732941,47613.09275832039,197257.8164392434,0.001838059628804755,0.03702245026363471,0.02015671733169614,0.309356868267059,778.131020003332,13544.44077210997,9008.246997572718,4536.193774537252,47793.47326537925,0.03493142939116571,0.03550880741821724,-9188.627504631582,38604.84576074767
1978,1856146.875,7661096.0,78.11536,3.12382531166077,0.289518266916275,0.0510386154055595,0.0325256213545799,37.7019309997559,0.60282164812088,0.72435873746872,1853906.0,0.690643131732941,49232.14344145973,203201.6874692599,0.008275680547712931,0.04168057565722272,0.01085708377595272,0.309356868267059,796.5712687693992,14253.60484574488,10603.55661053599,3650.048235208884,49172.7068306396,0.02885819905998427,0.03660951587556736,-10544.11999971587,38628.58683092374
1979,1929379.25,7964231.0,78.147901,3.15105581283569,0.317206263542175,0.0495061129331589,0.0326564572751522,38.2572288513184,0.594940900802612,0.734718680381775,1917908.75,0.690643131732941,50431.75650537247,208175.8464773264,0.01472863158033193,0.03869555258768642,0.01430222675197916,0.309356868267059,809.3493275092442,15997.26904493798,12233.70570688411,3763.563338053873,50131.93081636141,0.0195072439071854,0.0397524909795662,-11933.88001787305,38198.05079848836
1980,1930710.125,8216330.5,78.315375,3.17852354049683,0.314077228307724,0.0446960553526878,0.0328012816607952,38.7229194641113,0.602648019790649,0.72928249835968,1956679.375,0.690643131732941,49859.62194274626,212182.6198464958,0.01217261748368503,0.0006895566000899578,-0.007398997966501011,0.309356868267059,795.0367467681253,15659.77186424872,11957.55604606132,3702.215818187402,50530.26481676997,0.00794571431664371,0.04072319819436594,-12628.19892008503,37902.06589668494
1981,1865626.25,8307104.5,78.44804,3.2028431892395,0.278747051954269,0.0413330905139446,0.0328760929405689,38.7912483215332,0.604459762573242,0.726313471794128,1974791.5,0.69346284866333,48093.99879416569,214148.9346035994,0.00176455851902466,-0.03429108804247072,-0.004071161137460431,0.30653715133667,764.4997537304561,13406.06038056586,9855.513773228939,3550.546607336917,50908.1709263732,0.007478807225206129,0.03759368690134153,-12669.68590543645,38238.48502093676
1982,1829822.625,8226383.0,78.393674,3.22734904289246,0.268157958984375,0.0417975671589375,0.0328404419124126,38.5415458679199,0.601440191268921,0.719833135604858,1954723.0,0.688290476799011,47476.62772195796,213441.9576264905,-0.006437082187806046,-0.01937775168918598,-0.008922230470629157,0.311709523200989,755.5285981064579,12731.23558938124,8064.793765430768,4666.441823950476,50717.296257362,-0.003749391611167051,0.04367226296452103,-11305.46230083481,39411.83395652719
1983,1836717.375,8110444.0,78.224133,3.25204229354858,0.281838476657867,0.0448676273226738,0.0327922627329826,38.2541236877441,0.60417765378952,0.727656543254852,1972539.75,0.674544930458069,48013.57861423054,212014.8945562811,-0.007457463723971662,0.003760907082346776,0.01086836276774088,0.325455069541931,765.8049710452667,13532.07385552748,7784.322139368715,5747.751716158761,51564.10760056084,0.01669669729438539,0.0365192786754811,-11334.85112569901,40229.25647486183
1984,1847189.875,8052784.0,77.998198,3.27692437171936,0.27754881978035,0.0476502701640129,0.0327149704098702,38.3833389282227,0.602546036243439,0.738656938076019,2007369.25,0.668716311454773,48124.78347582703,209798.9446686439,0.003377812063696522,0.005685554765660683,0.01511756463009534,0.3312836885452271,770.3047664089613,13356.97685590068,9959.975075771581,3397.0017801291,52297.93202081258,0.01423130263275916,0.04053461884763332,-14133.12362075713,38164.80840005544
1985,1858648.5,8137186.0,77.863424,3.30199670791626,0.270824193954468,0.0496991574764252,0.032647505402565,38.6601829528809,0.599866390228272,0.747399210929871,2039263.75,0.664667010307312,48076.5572750994,210479.7592374981,0.007212609230684823,0.006184112936605146,0.01183536280945673,0.335332989692688,768.6920472463743,13020.29487213461,10785.2431675735,2235.051704561105,52748.42471608213,0.008613967663009588,0.0453921736449204,-15457.11060855624,37291.31410752589
1986,1987612.375,8354915.0,77.923807,3.32726120948792,0.269442766904831,0.0514935553073883,0.0326978825032711,39.0774955749512,0.592368483543396,0.753286182880402,2104384.0,0.660916328430176,50863.35103506648,213803.7475808846,0.01079437783775932,0.06708449611769396,0.007876609801616962,0.339083671569824,808.9614610117237,13704.76203694001,11732.13480521033,1972.627231729686,53851.55750229083,0.02091309441270141,0.04103700810103759,-14720.34127243468,39131.21622985615
1987,2063495.375,8643341.0,78.062324,3.35271883010864,0.266272962093353,0.0488585568964481,0.0328035652637482,39.381275177002,0.598805248737335,0.755520224571228,2162593.75,0.668619811534882,52397.8811180052,219478.4440359505,0.007773773564074722,0.03746722204197717,0.00296572768968559,0.331380188465118,826.03387830469,13952.13901270662,11403.76215573738,2548.376856969238,54914.26421008627,0.01973400133784867,0.03899155622752377,-13920.14524781845,40994.11896226782
1988,2173668.5,9022554.0,78.385992,3.37837147712708,0.276873767375946,0.0514435321092606,0.0329521000385284,39.6400413513184,0.590805351734161,0.769476294517517,2213177.5,0.661977708339691,54835.17236360565,227612.1238127799,0.006570792163365858,0.05201496430106722,0.0184721328329884,0.3380222916603089,853.9075524567203,15182.42075702085,11586.37080252762,3596.049954493237,55831.86658119849,0.01670972714123481,0.0430886685386432,-12583.06502012046,43248.80156107803
